epoch,loss,val_loss
0,371.45684814453125,221.05384826660156
1,90.67142486572266,81.23947143554688
2,79.72276306152344,76.68690490722656
3,77.51304626464844,77.25907135009766
4,76.15812683105469,76.46849822998047
5,75.22279357910156,80.19625854492188
6,75.44236755371094,74.72100830078125
7,74.98564910888672,74.59892272949219
8,74.25872802734375,75.40931701660156
9,74.4204330444336,75.76797485351562
10,73.17723083496094,72.23263549804688
11,73.24542236328125,72.94027709960938
12,72.55171203613281,74.3575210571289
13,71.79998016357422,72.50265502929688
14,71.2288589477539,72.6387710571289
15,70.58260345458984,73.20719146728516
16,69.71685028076172,71.42058563232422
17,68.81104278564453,71.39949035644531
18,68.32052612304688,72.50296020507812
19,67.37370300292969,69.64556121826172
20,66.56613159179688,68.50076293945312
21,66.28099822998047,63.744388580322266
22,65.80804443359375,63.81071853637695
23,64.31600952148438,69.91735076904297
24,63.70014190673828,66.46025848388672
25,62.819190979003906,73.83639526367188
26,62.31792449951172,63.290374755859375
27,61.692562103271484,64.03128814697266
28,60.77715301513672,62.68165969848633
0,61.71217727661133,62.77157974243164
1,60.62772750854492,60.25946807861328
2,59.2375602722168,56.18571472167969
3,58.38328170776367,59.00677490234375
4,57.71685028076172,57.618927001953125
5,57.193912506103516,55.22924041748047
6,56.761940002441406,54.884456634521484
7,56.17222213745117,55.89114761352539
8,55.69351577758789,57.702152252197266
9,54.96580505371094,52.363182067871094
10,54.17301940917969,51.89140701293945
11,53.620826721191406,53.15937042236328
12,52.925296783447266,53.87189483642578
13,52.10298538208008,52.29823303222656
14,51.6591911315918,49.21779251098633
15,50.61571502685547,51.322601318359375
16,50.12803268432617,51.288330078125
17,49.040016174316406,47.871543884277344
18,48.55464553833008,46.17393493652344
19,47.65478515625,47.95267105102539
20,46.78804016113281,48.33409118652344
21,47.00953674316406,45.831886291503906
22,45.9400749206543,44.38353729248047
23,45.25894546508789,45.79681396484375
24,44.82310104370117,44.859649658203125
25,44.17490768432617,42.61669158935547
26,43.10063934326172,40.4067268371582
27,42.838348388671875,45.33816146850586
28,42.037925720214844,44.553199768066406
29,41.03955078125,39.3111686706543
30,40.74839782714844,41.013587951660156
31,40.00257110595703,43.000423431396484
32,39.129398345947266,40.30378723144531
33,38.2484130859375,37.355987548828125
34,37.60601806640625,35.46513366699219
35,37.25099563598633,36.74031066894531
36,36.57865524291992,38.45365905761719
37,36.345584869384766,34.546287536621094
38,35.19627380371094,32.053924560546875
39,34.457035064697266,34.09238052368164
40,34.160926818847656,35.10808563232422
41,33.79462432861328,32.61850357055664
42,32.88521194458008,30.38610076904297
43,32.27703857421875,31.97458267211914
44,31.281808853149414,33.00223922729492
45,30.213056564331055,30.792007446289062
46,30.31904411315918,28.292831420898438
47,30.47798728942871,31.594417572021484
48,29.517684936523438,32.89472198486328
49,28.784523010253906,32.50631332397461
50,28.143760681152344,25.81508445739746
51,27.354400634765625,28.43680191040039
52,27.383485794067383,29.372474670410156
53,26.722122192382812,27.732418060302734
54,26.391685485839844,24.920921325683594
55,26.578014373779297,27.73942756652832
56,25.556835174560547,29.00739860534668
57,25.433902740478516,26.1413516998291
58,24.41918182373047,22.97512435913086
59,24.19324493408203,25.264982223510742
60,23.09984588623047,28.224308013916016
61,22.59071159362793,23.81809425354004
62,23.11255645751953,21.977699279785156
63,23.15453338623047,24.56813621520996
64,21.736391067504883,25.33432960510254
65,21.05756187438965,22.667724609375
66,21.485240936279297,20.320402145385742
67,20.801326751708984,22.230266571044922
68,20.34337615966797,24.512935638427734
69,19.983142852783203,21.831233978271484
70,19.695680618286133,19.747039794921875
71,19.30002784729004,21.014944076538086
72,19.799463272094727,24.828163146972656
73,18.738250732421875,20.871599197387695
74,18.990371704101562,18.300613403320312
75,18.201770782470703,20.60272216796875
76,17.826717376708984,23.22391128540039
77,17.16145896911621,20.125181198120117
78,17.257959365844727,17.302764892578125
79,16.42962646484375,19.23391342163086
80,16.92618179321289,21.465993881225586
81,16.187849044799805,19.085956573486328
82,15.267662048339844,18.72348403930664
83,16.138172149658203,19.624427795410156
84,15.253804206848145,22.955310821533203
85,15.415055274963379,19.06892204284668
86,15.330194473266602,16.276714324951172
87,14.622993469238281,17.73340606689453
88,14.568535804748535,20.234678268432617
89,14.151886940002441,19.081924438476562
90,13.864684104919434,15.750935554504395
91,14.168184280395508,19.298564910888672
92,14.046347618103027,20.738216400146484
93,13.54346752166748,17.761537551879883
94,13.56899642944336,14.980396270751953
95,13.070897102355957,18.115354537963867
96,12.642589569091797,19.012920379638672
97,13.419488906860352,18.016286849975586
98,12.620681762695312,15.209396362304688
99,12.237707138061523,16.16771125793457
